Date,symbol,name,Open,High,Low,Close,Volume,market_cap
2023-01-01,ADA,Cardano,0.5,0.5,0.49,0.51,1624074561,5124178538
2023-01-02,ADA,Cardano,0.51,0.52,0.5,0.55,3832290311,5514392383
2023-01-03,ADA,Cardano,0.55,0.56,0.55,0.54,2216968971,5384949084
2023-01-04,ADA,Cardano,0.54,0.57,0.53,0.53,2164916560,5259552534
2023-01-05,ADA,Cardano,0.53,0.53,0.51,0.5,2824279936,4993200609
2023-01-06,ADA,Cardano,0.5,0.51,0.49,0.46,3056937753,4640604824
2023-01-07,ADA,Cardano,0.46,0.47,0.45,0.45,1260206371,4514291569
2023-01-08,ADA,Cardano,0.45,0.46,0.44,0.46,1390688456,4599092089
2023-01-09,ADA,Cardano,0.46,0.48,0.46,0.45,1137554084,4460726883
2023-01-10,ADA,Cardano,0.45,0.45,0.44,0.42,3650089137,4224818904
2023-01-11,ADA,Cardano,0.42,0.44,0.41,0.43,4878338511,4268939447
2023-01-12,ADA,Cardano,0.43,0.43,0.42,0.43,4687496940,4310958882
2023-01-13,ADA,Cardano,0.43,0.43,0.42,0.43,4314950036,4286031133
2023-01-14,ADA,Cardano,0.43,0.44,0.42,0.41,3170784332,4131767398
2023-01-15,ADA,Cardano,0.41,0.42,0.41,0.42,1022088468,4198719377
2023-01-16,ADA,Cardano,0.42,0.43,0.41,0.43,3916028672,4327132232
2023-01-17,ADA,Cardano,0.43,0.44,0.43,0.41,2323592099,4145561972
2023-01-18,ADA,Cardano,0.41,0.42,0.41,0.43,2300733288,4347771111
2023-01-19,ADA,Cardano,0.43,0.45,0.43,0.45,1478376983,4524404926
2023-01-20,ADA,Cardano,0.45,0.46,0.44,0.48,3245108790,4751424385
2023-01-21,ADA,Cardano,0.48,0.49,0.44,0.47,1101676506,4742913149
2023-01-22,ADA,Cardano,0.47,0.49,0.46,0.49,3034282764,4937823759
2023-01-23,ADA,Cardano,0.49,0.5,0.48,0.49,1915192661,4883588706
2023-01-24,ADA,Cardano,0.49,0.49,0.48,0.48,1644885149,4757037777
2023-01-25,ADA,Cardano,0.48,0.48,0.47,0.5,4570235993,4974767899
2023-01-26,ADA,Cardano,0.5,0.51,0.5,0.51,4584365199,5102437217
2023-01-27,ADA,Cardano,0.51,0.51,0.51,0.49,4272059063,4923328125
2023-01-28,ADA,Cardano,0.49,0.53,0.49,0.46,1888431241,4563059910
2023-01-29,ADA,Cardano,0.46,0.47,0.45,0.45,3075162486,4484868566
2023-01-30,ADA,Cardano,0.45,0.46,0.43,0.46,4887128330,4575474316
2023-01-31,ADA,Cardano,0.46,0.46,0.46,0.41,1205915004,4136509895
2023-02-01,ADA,Cardano,0.41,0.42,0.41,0.46,1958247562,4645971164
2023-02-02,ADA,Cardano,0.46,0.48,0.45,0.46,1950550175,4637907670
2023-02-03,ADA,Cardano,0.46,0.47,0.45,0.48,3529223322,4812277469
2023-02-04,ADA,Cardano,0.48,0.51,0.47,0.5,1163100566,4953483427
2023-02-05,ADA,Cardano,0.5,0.52,0.48,0.48,1066351315,4813226106
2023-02-06,ADA,Cardano,0.48,0.48,0.47,0.44,3763750952,4440041421
2023-02-07,ADA,Cardano,0.44,0.45,0.44,0.45,1550083776,4545179921
2023-02-08,ADA,Cardano,0.45,0.46,0.45,0.44,4268888800,4367178564
2023-02-09,ADA,Cardano,0.44,0.45,0.41,0.41,1967409163,4098408351
2023-02-10,ADA,Cardano,0.41,0.42,0.4,0.42,3903822715,4151663642
2023-02-11,ADA,Cardano,0.42,0.42,0.4,0.39,1336559859,3877559056
2023-02-12,ADA,Cardano,0.39,0.39,0.37,0.39,3607845038,3934379348
2023-02-13,ADA,Cardano,0.39,0.4,0.38,0.4,1948996349,4027591270
2023-02-14,ADA,Cardano,0.4,0.41,0.39,0.43,3630451569,4260908742
2023-02-15,ADA,Cardano,0.43,0.44,0.42,0.43,2470863212,4348849836
2023-02-16,ADA,Cardano,0.43,0.44,0.43,0.42,4568186220,4155431601
2023-02-17,ADA,Cardano,0.42,0.43,0.41,0.42,3010548372,4226313286
2023-02-18,ADA,Cardano,0.42,0.45,0.42,0.42,2123089449,4170387152
2023-02-19,ADA,Cardano,0.42,0.42,0.42,0.4,1708442717,3991653209
2023-02-20,ADA,Cardano,0.4,0.41,0.39,0.39,4854479908,3947053912
2023-02-21,ADA,Cardano,0.39,0.4,0.39,0.39,2540390914,3932680929
2023-02-22,ADA,Cardano,0.39,0.4,0.39,0.38,4744619096,3844880887
2023-02-23,ADA,Cardano,0.38,0.39,0.37,0.36,1388705975,3605395026
