Date,symbol,name,Open,High,Low,Close,Volume,market_cap
2023-01-01,DOGE,Dogecoin,0.08,0.08,0.08,0.08,1909926414,788173596
2023-01-02,DOGE,Dogecoin,0.08,0.08,0.08,0.08,4952496303,765276809
2023-01-03,DOGE,Dogecoin,0.08,0.08,0.08,0.08,4564560367,787845081
2023-01-04,DOGE,Dogecoin,0.08,0.08,0.08,0.09,2127300013,873566141
2023-01-05,DOGE,Dogecoin,0.09,0.09,0.08,0.08,3423587260,846876248
2023-01-06,DOGE,Dogecoin,0.08,0.08,0.08,0.08,2731359684,825706444
2023-01-07,DOGE,Dogecoin,0.08,0.09,0.08,0.08,2556834474,838763380
2023-01-08,DOGE,Dogecoin,0.08,0.09,0.08,0.09,2114777263,893985893
2023-01-09,DOGE,Dogecoin,0.09,0.09,0.09,0.09,2116033161,924623473
2023-01-10,DOGE,Dogecoin,0.09,0.09,0.09,0.09,2035169633,930755686
2023-01-11,DOGE,Dogecoin,0.09,0.09,0.09,0.08,2212879135,771338086
2023-01-12,DOGE,Dogecoin,0.08,0.08,0.08,0.08,1056786537,808262523
2023-01-13,DOGE,Dogecoin,0.08,0.08,0.08,0.08,3771635644,835339468
2023-01-14,DOGE,Dogecoin,0.08,0.09,0.08,0.09,1676647575,851601452
2023-01-15,DOGE,Dogecoin,0.09,0.09,0.09,0.09,1909044214,894766118
2023-01-16,DOGE,Dogecoin,0.09,0.09,0.09,0.1,3445366624,995095411
2023-01-17,DOGE,Dogecoin,0.1,0.1,0.1,0.1,1681850046,995606258
2023-01-18,DOGE,Dogecoin,0.1,0.1,0.1,0.09,2936692128,902236253
2023-01-19,DOGE,Dogecoin,0.09,0.09,0.09,0.09,2368277738,883435330
2023-01-20,DOGE,Dogecoin,0.09,0.09,0.09,0.09,2043396983,852167427
2023-01-21,DOGE,Dogecoin,0.09,0.09,0.08,0.08,4867874058,773267722
2023-01-22,DOGE,Dogecoin,0.08,0.08,0.08,0.08,4471918506,823159423
2023-01-23,DOGE,Dogecoin,0.08,0.09,0.08,0.08,2488174271,769244530
2023-01-24,DOGE,Dogecoin,0.08,0.08,0.07,0.08,1975981209,765011868
2023-01-25,DOGE,Dogecoin,0.08,0.08,0.07,0.08,4582222963,751847809
2023-01-26,DOGE,Dogecoin,0.08,0.08,0.07,0.07,3751076825,749148999
2023-01-27,DOGE,Dogecoin,0.07,0.08,0.07,0.07,1206629428,659451961
2023-01-28,DOGE,Dogecoin,0.07,0.07,0.06,0.07,2964079050,654223697
2023-01-29,DOGE,Dogecoin,0.07,0.07,0.06,0.06,2237878196,611840352
2023-01-30,DOGE,Dogecoin,0.06,0.06,0.06,0.06,4933363073,609339512
2023-01-31,DOGE,Dogecoin,0.06,0.06,0.06,0.06,3863938774,554064494
2023-02-01,DOGE,Dogecoin,0.06,0.06,0.05,0.05,3384570598,528164436
2023-02-02,DOGE,Dogecoin,0.05,0.05,0.05,0.05,4366488030,534048883
2023-02-03,DOGE,Dogecoin,0.05,0.05,0.05,0.05,3179204341,486495354
2023-02-04,DOGE,Dogecoin,0.05,0.05,0.05,0.04,1955007084,441917750
2023-02-05,DOGE,Dogecoin,0.04,0.05,0.04,0.04,2466715518,430686006
2023-02-06,DOGE,Dogecoin,0.04,0.04,0.04,0.04,4818665427,448863400
2023-02-07,DOGE,Dogecoin,0.04,0.05,0.04,0.04,2067178197,431895691
2023-02-08,DOGE,Dogecoin,0.04,0.05,0.04,0.04,4433291755,419856657
2023-02-09,DOGE,Dogecoin,0.04,0.04,0.04,0.04,1243622172,409545603
2023-02-10,DOGE,Dogecoin,0.04,0.04,0.04,0.04,3773510154,437261414
2023-02-11,DOGE,Dogecoin,0.04,0.05,0.04,0.04,2785305439,417256199
2023-02-12,DOGE,Dogecoin,0.04,0.04,0.04,0.04,4949473889,439801380
2023-02-13,DOGE,Dogecoin,0.04,0.05,0.04,0.05,1625448566,457781225
2023-02-14,DOGE,Dogecoin,0.05,0.05,0.04,0.05,2098663479,463258779
2023-02-15,DOGE,Dogecoin,0.05,0.05,0.05,0.04,3277219937,405905401
2023-02-16,DOGE,Dogecoin,0.04,0.04,0.04,0.04,1204662025,410578941
2023-02-17,DOGE,Dogecoin,0.04,0.04,0.04,0.04,3016531367,409411976
2023-02-18,DOGE,Dogecoin,0.04,0.04,0.04,0.04,2855941669,395637042
2023-02-19,DOGE,Dogecoin,0.04,0.04,0.04,0.04,4231829312,405232337
2023-02-20,DOGE,Dogecoin,0.04,0.04,0.04,0.04,3575631828,397352963
2023-02-21,DOGE,Dogecoin,0.04,0.04,0.04,0.04,3114829279,403947451
2023-02-22,DOGE,Dogecoin,0.04,0.04,0.04,0.05,1325788851,454794886
2023-02-23,DOGE,Dogecoin,0.05,0.05,0.04,0.04,3766573607,407253675
2023-02-24,DOGE,Dogecoin,0.04,0.04,0.04,0.04,1417252349,410560697
2023-02-25,DOGE,Dogecoin,0.04,0.04,0.04,0.04,4471998367,352138090
2023-02-26,DOGE,Dogecoin,0.04,0.04,0.03,0.03,1301114866,335731994
2023-02-27,DOGE,Dogecoin,0.03,0.03,0.03,0.03,4771931136,323495121
2023-02-28,DOGE,Dogecoin,0.03,0.03,0.03,0.03,3841406002,295687391
2023-03-01,DOGE,Dogecoin,0.03,0.03,0.03,0.03,2363847894,301441590
2023-03-02,DOGE,Dogecoin,0.03,0.03,0.03,0.03,1098577618,276888855
2023-03-03,DOGE,Dogecoin,0.03,0.03,0.03,0.03,3589368537,294832184
2023-03-04,DOGE,Dogecoin,0.03,0.03,0.03,0.03,4929930322,313794550
2023-03-05,DOGE,Dogecoin,0.03,0.03,0.03,0.03,4305561246,311437806
2023-03-06,DOGE,Dogecoin,0.03,0.03,0.03,0.03,1220406140,304244660
2023-03-07,DOGE,Dogecoin,0.03,0.03,0.03,0.03,2246611666,284923166
2023-03-08,DOGE,Dogecoin,0.03,0.03,0.03,0.03,4890272942,295332640
