Date,symbol,name,Open,High,Low,Close,Volume,market_cap
2023-01-01,XRP,Ripple,0.6,0.61,0.6,0.61,4458635687,6142807071
2023-01-02,XRP,Ripple,0.61,0.64,0.61,0.59,3253633457,5915105914
2023-01-03,XRP,Ripple,0.59,0.6,0.59,0.58,1576315144,5830016010
2023-01-04,XRP,Ripple,0.58,0.6,0.57,0.65,2951337274,6458033185
2023-01-05,XRP,Ripple,0.65,0.66,0.63,0.64,1227914907,6437212551
2023-01-06,XRP,Ripple,0.64,0.66,0.61,0.63,3900024305,6295712249
2023-01-07,XRP,Ripple,0.63,0.64,0.62,0.68,2255501986,6757202322
2023-01-08,XRP,Ripple,0.68,0.69,0.67,0.69,4957804523,6856866501
2023-01-09,XRP,Ripple,0.69,0.7,0.69,0.68,3966565807,6780375853
2023-01-10,XRP,Ripple,0.68,0.72,0.66,0.64,4352921684,6399267241
2023-01-11,XRP,Ripple,0.64,0.64,0.62,0.66,2815959644,6642810368
2023-01-12,XRP,Ripple,0.66,0.67,0.66,0.64,1785676863,6397168278
2023-01-13,XRP,Ripple,0.64,0.66,0.61,0.69,1919306903,6884411566
2023-01-14,XRP,Ripple,0.69,0.72,0.68,0.68,3646669038,6840614258
2023-01-15,XRP,Ripple,0.68,0.7,0.68,0.69,1874839201,6899929379
2023-01-16,XRP,Ripple,0.69,0.7,0.68,0.67,2142830270,6668847313
2023-01-17,XRP,Ripple,0.67,0.67,0.65,0.64,2469562914,6374120862
2023-01-18,XRP,Ripple,0.64,0.64,0.63,0.62,4380483405,6243273836
2023-01-19,XRP,Ripple,0.62,0.63,0.61,0.61,1872830138,6110613184
2023-01-20,XRP,Ripple,0.61,0.62,0.6,0.63,2052989386,6277154160
2023-01-21,XRP,Ripple,0.63,0.64,0.62,0.64,2833294378,6411439395
2023-01-22,XRP,Ripple,0.64,0.65,0.64,0.65,2944521940,6528996138
2023-01-23,XRP,Ripple,0.65,0.66,0.65,0.63,2872276216,6284418278
2023-01-24,XRP,Ripple,0.63,0.65,0.63,0.62,1617968816,6237328121
2023-01-25,XRP,Ripple,0.62,0.63,0.62,0.56,4310212209,5551844552
2023-01-26,XRP,Ripple,0.56,0.56,0.54,0.59,3042323029,5860157974
2023-01-27,XRP,Ripple,0.59,0.59,0.58,0.6,1200972039,6040230600
2023-01-28,XRP,Ripple,0.6,0.6,0.6,0.7,2752714452,6988845845
2023-01-29,XRP,Ripple,0.7,0.7,0.7,0.69,1949914227,6908488789
2023-01-30,XRP,Ripple,0.69,0.69,0.68,0.68,2124199000,6791255511
2023-01-31,XRP,Ripple,0.68,0.69,0.67,0.67,4003078596,6678196209
2023-02-01,XRP,Ripple,0.67,0.67,0.66,0.7,1947733299,7014015774
2023-02-02,XRP,Ripple,0.7,0.73,0.7,0.72,1264660755,7206342258
2023-02-03,XRP,Ripple,0.72,0.74,0.72,0.74,1937702400,7399084473
2023-02-04,XRP,Ripple,0.74,0.74,0.74,0.73,4732820351,7341461204
2023-02-05,XRP,Ripple,0.73,0.74,0.71,0.74,3713999873,7415533727
2023-02-06,XRP,Ripple,0.74,0.75,0.73,0.77,2126464168,7673343535
2023-02-07,XRP,Ripple,0.77,0.78,0.75,0.8,3490758163,7966557509
2023-02-08,XRP,Ripple,0.8,0.8,0.77,0.78,2373546808,7774091654
2023-02-09,XRP,Ripple,0.78,0.78,0.76,0.77,4714522248,7652047400
2023-02-10,XRP,Ripple,0.77,0.78,0.76,0.78,1986634463,7751235389
2023-02-11,XRP,Ripple,0.78,0.81,0.77,0.68,4004708547,6823835429
2023-02-12,XRP,Ripple,0.68,0.7,0.67,0.7,2609625037,6951214869
2023-02-13,XRP,Ripple,0.7,0.7,0.69,0.74,3764223250,7437066750
2023-02-14,XRP,Ripple,0.74,0.75,0.74,0.72,2719830479,7191788076
2023-02-15,XRP,Ripple,0.72,0.72,0.69,0.69,2151781370,6887846530
2023-02-16,XRP,Ripple,0.69,0.69,0.67,0.64,1657622116,6360993778
2023-02-17,XRP,Ripple,0.64,0.64,0.62,0.69,4609652133,6866635789
2023-02-18,XRP,Ripple,0.69,0.7,0.68,0.72,4283924069,7213732329
2023-02-19,XRP,Ripple,0.72,0.75,0.71,0.73,4593545866,7271387488
2023-02-20,XRP,Ripple,0.73,0.74,0.73,0.68,3307429524,6790054376
2023-02-21,XRP,Ripple,0.68,0.69,0.68,0.68,4922272908,6815414516
2023-02-22,XRP,Ripple,0.68,0.69,0.68,0.72,3129167503,7228808678
2023-02-23,XRP,Ripple,0.72,0.75,0.71,0.72,4753262914,7167447957
2023-02-24,XRP,Ripple,0.72,0.73,0.71,0.66,1906086504,6620483501
2023-02-25,XRP,Ripple,0.66,0.68,0.65,0.71,3310527017,7120379701
2023-02-26,XRP,Ripple,0.71,0.72,0.71,0.74,2403276437,7428746557
2023-02-27,XRP,Ripple,0.74,0.76,0.74,0.78,2312717931,7822706848
2023-02-28,XRP,Ripple,0.78,0.83,0.78,0.73,2523965094,7347290890
2023-03-01,XRP,Ripple,0.73,0.74,0.73,0.75,2538444303,7509442896
2023-03-02,XRP,Ripple,0.75,0.76,0.75,0.69,3126288610,6947814155
2023-03-03,XRP,Ripple,0.69,0.7,0.69,0.71,2630992420,7072657683
2023-03-04,XRP,Ripple,0.71,0.72,0.71,0.72,3859013105,7200958158
2023-03-05,XRP,Ripple,0.72,0.72,0.71,0.73,1465433940,7329674566
2023-03-06,XRP,Ripple,0.73,0.74,0.72,0.75,2418664819,7508582003
2023-03-07,XRP,Ripple,0.75,0.78,0.73,0.76,4334576041,7575923893
2023-03-08,XRP,Ripple,0.76,0.78,0.74,0.77,1423497272,7704863067
2023-03-09,XRP,Ripple,0.77,0.79,0.74,0.75,3703291700,7486217236
2023-03-10,XRP,Ripple,0.75,0.75,0.73,0.73,1627250821,7319859481
2023-03-11,XRP,Ripple,0.73,0.75,0.73,0.72,4517320862,7204006393
2023-03-12,XRP,Ripple,0.72,0.73,0.7,0.68,4832472035,6767596241
