Date,symbol,name,Open,High,Low,Close,Volume,market_cap
2023-01-01,SOL,Solana,100.0,100.92,99.64,94.58,1339168064,945782770419
2023-01-02,SOL,Solana,94.58,95.28,89.48,91.81,2398812918,918141584108
2023-01-03,SOL,Solana,91.81,94.31,87.56,84.68,1740782271,846775243911
2023-01-04,SOL,Solana,84.68,87.11,81.3,92.71,3498654275,927097237893
2023-01-05,SOL,Solana,92.71,97.35,90.85,87.1,1485545672,870967426992
2023-01-06,SOL,Solana,87.1,89.03,85.51,96.35,1167804893,963512533733
2023-01-07,SOL,Solana,96.35,101.96,89.42,113.04,3992292717,1130393085323
2023-01-08,SOL,Solana,113.04,117.89,111.39,117.91,4712334561,1179071978573
2023-01-09,SOL,Solana,117.91,120.71,111.86,109.99,2728307531,1099912890340
2023-01-10,SOL,Solana,109.99,114.85,109.02,128.08,4547699600,1280844788535
2023-01-11,SOL,Solana,128.08,134.95,123.41,125.25,4263787755,1252480398730
2023-01-12,SOL,Solana,125.25,126.66,124.0,123.57,4367994211,1235735065072
2023-01-13,SOL,Solana,123.57,127.97,119.94,139.46,3624647350,1394635328270
2023-01-14,SOL,Solana,139.46,146.7,137.23,141.48,4271141319,1414832053146
2023-01-15,SOL,Solana,141.48,141.66,133.04,134.11,4362812112,1341107204236
2023-01-16,SOL,Solana,134.11,143.24,132.82,137.42,2190193805,1374241458484
2023-01-17,SOL,Solana,137.42,147.38,134.0,166.03,4493291663,1660268722272
2023-01-18,SOL,Solana,166.03,170.5,165.11,183.16,1037326479,1831575614838
2023-01-19,SOL,Solana,183.16,189.23,176.37,165.22,4967239805,1652184031247
2023-01-20,SOL,Solana,165.22,170.84,161.38,162.46,3220339797,1624556440220
2023-01-21,SOL,Solana,162.46,167.13,153.06,170.11,1752098938,1701050747218
2023-01-22,SOL,Solana,170.11,174.25,169.19,186.39,4043963040,1863893217978
2023-01-23,SOL,Solana,186.39,197.2,178.14,186.61,1595552201,1866083396101
2023-01-24,SOL,Solana,186.61,189.39,173.72,197.39,4544783121,1973925304701
2023-01-25,SOL,Solana,197.39,210.81,185.89,191.08,2650487363,1910817146344
2023-01-26,SOL,Solana,191.08,200.73,186.86,167.76,3569302103,1677597126719
2023-01-27,SOL,Solana,167.76,168.61,163.14,202.09,3245938351,2020927348417
2023-01-28,SOL,Solana,202.09,211.86,193.81,235.42,2079282880,2354219264967
2023-01-29,SOL,Solana,235.42,235.49,223.06,246.58,1308233116,2465814333673
2023-01-30,SOL,Solana,246.58,251.05,239.71,243.22,4154459858,2432242839146
2023-01-31,SOL,Solana,243.22,270.21,235.43,261.81,1589810106,2618125579365
2023-02-01,SOL,Solana,261.81,281.36,260.95,246.8,3392901176,2467987111091
2023-02-02,SOL,Solana,246.8,248.67,241.1,244.39,2684992213,2443949408571
2023-02-03,SOL,Solana,244.39,250.09,242.18,268.27,4359209142,2682680974813
2023-02-04,SOL,Solana,268.27,281.13,247.48,247.68,3351077443,2476771423865
2023-02-05,SOL,Solana,247.68,258.77,246.28,237.99,2194902294,2379909961589
2023-02-06,SOL,Solana,237.99,247.82,236.14,204.32,4367734267,2043211844583
2023-02-07,SOL,Solana,204.32,208.67,194.76,212.72,1533919889,2127163350273
2023-02-08,SOL,Solana,212.72,214.47,209.5,163.84,2985844609,1638381677276
2023-02-09,SOL,Solana,163.84,166.83,159.89,185.61,3440900597,1856123809941
2023-02-10,SOL,Solana,185.61,188.55,181.35,192.57,3627820625,1925732054596
2023-02-11,SOL,Solana,192.57,194.14,185.81,191.03,4625018322,1910302461358
2023-02-12,SOL,Solana,191.03,197.45,183.98,178.39,4037593049,1783935135313
2023-02-13,SOL,Solana,178.39,180.33,178.24,199.7,1134454400,1996963902052
2023-02-14,SOL,Solana,199.7,200.51,190.66,187.76,2644382410,1877591522016
2023-02-15,SOL,Solana,187.76,189.87,187.26,198.83,4747289848,1988270870355
2023-02-16,SOL,Solana,198.83,199.7,194.02,207.03,2040631163,2070337023750
2023-02-17,SOL,Solana,207.03,217.42,204.6,220.19,2855729946,2201888669580
2023-02-18,SOL,Solana,220.19,220.89,217.12,196.29,2398025488,1962925301183
2023-02-19,SOL,Solana,196.29,202.65,194.72,184.76,3093563645,1847569429812
2023-02-20,SOL,Solana,184.76,186.94,183.63,201.73,3831340388,2017344410032
2023-02-21,SOL,Solana,201.73,202.43,193.08,188.38,1663098160,1883781649598
2023-02-22,SOL,Solana,188.38,191.76,173.23,144.35,2647062166,1443526734970
2023-02-23,SOL,Solana,144.35,156.23,144.23,151.5,4225614468,1515027993276
2023-02-24,SOL,Solana,151.5,155.43,151.15,142.68,4145112797,1426792406464
