date,symbol,name,open,high,low,close,volume,market_cap
2023-01-01,BTC,Bitcoin,16537.49,16621.35,16505.34,16607.17,14396358592,320465298642
2023-01-02,BTC,Bitcoin,16607.17,16768.44,16572.86,16672.78,16088667463,321733619435
2023-01-03,BTC,Bitcoin,16672.78,16760.00,16605.34,16673.85,19781867963,321753907086
2023-01-04,BTC,Bitcoin,16673.85,16863.24,16655.69,16831.85,22612303574,324803926826
2023-01-05,BTC,Bitcoin,16831.85,16877.48,16763.21,16834.52,18749407487,324855574634
2023-01-06,BTC,Bitcoin,16834.52,16952.93,16698.98,16950.31,21302615398,327122025446
2023-01-07,BTC,Bitcoin,16950.31,16955.08,16908.00,16943.57,13471485309,326992078298
2023-01-08,BTC,Bitcoin,16943.57,17094.99,16924.37,17091.15,14205674951,329848070245
2023-01-09,BTC,Bitcoin,17091.15,17398.80,17091.00,17178.26,25943466289,331527732457
2023-01-10,BTC,Bitcoin,17178.26,17494.71,17153.70,17445.83,23926615024,336691048584
2023-01-11,BTC,Bitcoin,17445.83,17986.55,17398.50,17934.90,29217074498,346130594901
2023-01-12,BTC,Bitcoin,17934.90,19041.79,17925.00,18869.59,36773547752,364195849876
2023-01-13,BTC,Bitcoin,18869.59,19952.80,18745.00,19909.57,42011341858,384316906745
2023-01-14,BTC,Bitcoin,19909.57,20979.29,19874.00,20880.80,31140436907,403078457280
2023-01-15,BTC,Bitcoin,20880.80,21000.00,20550.00,20688.78,24712807089,399384844826
2023-01-16,BTC,Bitcoin,20688.78,21420.06,20668.00,21161.51,30223831872,408516866846
2023-01-17,BTC,Bitcoin,21161.51,21193.20,20651.73,20663.36,25548267296,398890677512
2023-01-18,BTC,Bitcoin,20663.36,21137.56,20385.27,21086.79,28252359758,407082609431
2023-01-19,BTC,Bitcoin,21086.79,21168.00,20681.50,21068.73,21632089986,406734000925
2023-01-20,BTC,Bitcoin,21068.73,22713.10,20883.50,22668.58,36901620453,437577477514
2023-01-21,BTC,Bitcoin,22668.58,23083.00,22500.00,22777.60,29707601638,439684087024
2023-01-22,BTC,Bitcoin,22777.60,23062.63,22322.00,22720.42,26577729267,438581529244
2023-01-23,BTC,Bitcoin,22720.42,23171.84,22510.56,22934.43,29307638698,442716162881
2023-01-24,BTC,Bitcoin,22934.43,23156.14,22500.00,22636.47,26373344782,436951896263
2023-01-25,BTC,Bitcoin,22636.47,23800.00,22340.00,23078.73,33234223829,445479985973
2023-01-26,BTC,Bitcoin,23078.73,23273.50,22880.00,23032.78,22902330872,444592989066
2023-01-27,BTC,Bitcoin,23032.78,23470.78,22938.65,23078.07,23253990033,445466853881
2023-01-28,BTC,Bitcoin,23078.07,23189.51,22900.00,23031.98,17425181863,444577062042
2023-01-29,BTC,Bitcoin,23031.98,23957.33,23031.98,23774.57,27676654535,458914890927
2023-01-30,BTC,Bitcoin,23774.57,23789.75,22550.00,22840.12,29732295215,440876432852
2023-01-31,BTC,Bitcoin,22840.12,23267.83,22700.00,23139.28,24552327650,446642997588
2023-02-01,BTC,Bitcoin,23139.28,24255.14,22800.00,23723.76,36955186056,457921997588
2023-02-02,BTC,Bitcoin,23723.76,24050.00,23420.00,23449.31,29901234567,452627890123
2023-02-03,BTC,Bitcoin,23449.31,23695.00,23200.00,23443.20,25678912345,452509876543
2023-02-04,BTC,Bitcoin,23443.20,23550.00,23100.00,23358.97,19876543210,450882345678
2023-02-05,BTC,Bitcoin,23358.97,23485.00,22760.00,22955.67,22345678901,442988765432
2023-02-06,BTC,Bitcoin,22955.67,23100.00,22700.00,22760.11,21098765432,439265432109
2023-02-07,BTC,Bitcoin,22760.11,23350.00,22678.00,23264.30,26543210987,449021098765
