date,symbol,name,open,high,low,close,volume,market_cap
2023-01-01,ETH,Ethereum,1196.77,1201.50,1190.53,1194.89,4678901234,143234567890
2023-01-02,ETH,Ethereum,1194.89,1217.00,1193.23,1213.95,5432109876,145567890123
2023-01-03,ETH,Ethereum,1213.95,1222.78,1208.00,1218.34,4987654321,146098765432
2023-01-04,ETH,Ethereum,1218.34,1255.82,1217.00,1250.45,6543210987,149876543210
2023-01-05,ETH,Ethereum,1250.45,1269.89,1246.68,1246.68,5678901234,149432109876
2023-01-06,ETH,Ethereum,1246.68,1268.00,1245.50,1267.89,5876543210,151987654321
2023-01-07,ETH,Ethereum,1267.89,1272.00,1265.22,1268.19,4321098765,152023456789
2023-01-08,ETH,Ethereum,1268.19,1277.00,1262.31,1274.56,4567890123,152789012345
2023-01-09,ETH,Ethereum,1274.56,1315.00,1274.00,1312.90,7654321098,157432109876
2023-01-10,ETH,Ethereum,1312.90,1357.89,1310.00,1349.76,8901234567,161876543210
2023-01-11,ETH,Ethereum,1349.76,1420.00,1348.00,1417.23,10234567890,169909876543
2023-01-12,ETH,Ethereum,1417.23,1523.00,1415.00,1498.45,12345678901,179687654321
2023-01-13,ETH,Ethereum,1498.45,1590.00,1497.00,1585.89,11098765432,190123456789
2023-01-14,ETH,Ethereum,1585.89,1650.00,1580.00,1631.78,10987654321,195687654321
2023-01-15,ETH,Ethereum,1631.78,1640.00,1600.00,1609.34,8765432109,193001234567
2023-01-16,ETH,Ethereum,1609.34,1665.00,1605.00,1662.91,9876543210,199432109876
2023-01-17,ETH,Ethereum,1662.91,1668.00,1615.00,1623.45,8901234567,194687654321
2023-01-18,ETH,Ethereum,1623.45,1659.00,1611.00,1628.89,8543210987,195343210987
2023-01-19,ETH,Ethereum,1628.89,1633.00,1605.00,1625.78,7654321098,194976543210
2023-01-20,ETH,Ethereum,1625.78,1688.00,1620.00,1679.34,11234567890,201398765432
2023-01-21,ETH,Ethereum,1679.34,1695.00,1670.00,1693.56,9876543210,203109876543
2023-01-22,ETH,Ethereum,1693.56,1707.00,1675.00,1689.12,8765432109,202576543210
2023-01-23,ETH,Ethereum,1689.12,1719.00,1682.00,1712.45,9432109876,205376543210
2023-01-24,ETH,Ethereum,1712.45,1717.00,1679.00,1685.89,8901234567,202187654321
2023-01-25,ETH,Ethereum,1685.89,1750.00,1680.00,1737.23,11098765432,208287654321
2023-01-26,ETH,Ethereum,1737.23,1745.00,1719.00,1726.78,8543210987,206998765432
2023-01-27,ETH,Ethereum,1726.78,1759.00,1723.00,1742.34,8765432109,208865432109
2023-01-28,ETH,Ethereum,1742.34,1749.00,1730.00,1733.89,7654321098,207854321098
2023-01-29,ETH,Ethereum,1733.89,1798.00,1732.00,1785.67,10234567890,214098765432
2023-01-30,ETH,Ethereum,1785.67,1792.00,1710.00,1719.45,9876543210,206154321098
2023-01-31,ETH,Ethereum,1719.45,1745.00,1715.00,1734.89,8901234567,207998765432
2023-02-01,ETH,Ethereum,1734.89,1789.00,1720.00,1776.23,11234567890,212909876543
2023-02-02,ETH,Ethereum,1776.23,1795.00,1760.00,1768.45,9543210987,212021098765
2023-02-03,ETH,Ethereum,1768.45,1782.00,1755.00,1769.78,8432109876,212176543210
2023-02-04,ETH,Ethereum,1769.78,1778.00,1760.00,1765.34,7321098765,211643210987
2023-02-05,ETH,Ethereum,1765.34,1773.00,1730.00,1742.89,8109876543,208954321098
2023-02-06,ETH,Ethereum,1742.89,1755.00,1735.00,1739.12,7654321098,208498765432
2023-02-07,ETH,Ethereum,1739.12,1770.00,1735.00,1761.45,8765432109,211176543210
2023-02-08,ETH,Ethereum,1761.45,1764.00,1740.00,1746.78,8432109876,209409876543
2023-02-09,ETH,Ethereum,1746.78,1750.00,1650.00,1673.34,11234567890,200576543210
2023-02-10,ETH,Ethereum,1673.34,1685.00,1660.00,1668.89,9876543210,200043210987
2023-02-11,ETH,Ethereum,1668.89,1680.00,1665.00,1677.23,7654321098,200987654321
2023-02-12,ETH,Ethereum,1677.23,1685.00,1670.00,1683.45,6543210987,201732109876
2023-02-13,ETH,Ethereum,1683.45,1710.00,1680.00,1707.89,8765432109,204665432109
2023-02-14,ETH,Ethereum,1707.89,1745.00,1705.00,1741.34,10987654321,208687654321
2023-02-15,ETH,Ethereum,1741.34,1770.00,1720.00,1723.56,11234567890,206554321098
2023-02-16,ETH,Ethereum,1723.56,1789.00,1720.00,1778.12,12345678901,213098765432
2023-02-17,ETH,Ethereum,1778.12,1795.00,1770.00,1782.45,10876543210,213621098765
2023-02-18,ETH,Ethereum,1782.45,1790.00,1775.00,1781.89,8765432109,213554321098
2023-02-19,ETH,Ethereum,1781.89,1810.00,1780.00,1805.67,9432109876,216409876543
2023-02-20,ETH,Ethereum,1805.67,1815.00,1760.00,1772.34,10234567890,212321098765
2023-02-21,ETH,Ethereum,1772.34,1785.00,1765.00,1768.12,9876543210,211821098765
2023-02-22,ETH,Ethereum,1768.12,1775.00,1730.00,1745.89,10543210987,209154321098
2023-02-23,ETH,Ethereum,1745.89,1760.00,1740.00,1757.34,8901234567,210532109876
2023-02-24,ETH,Ethereum,1757.34,1765.00,1690.00,1698.45,11098765432,203443210987
2023-02-25,ETH,Ethereum,1698.45,1710.00,1685.00,1701.23,8543210987,203776543210
2023-02-26,ETH,Ethereum,1701.23,1735.00,1700.00,1729.89,8765432109,207254321098
2023-02-27,ETH,Ethereum,1729.89,1745.00,1725.00,1733.45,8432109876,207687654321
2023-02-28,ETH,Ethereum,1733.45,1738.00,1700.00,1705.67,9876543210,204409876543
2023-03-01,ETH,Ethereum,1705.67,1745.00,1704.00,1738.12,10234567890,208332109876
2023-03-02,ETH,Ethereum,1738.12,1742.00,1710.00,1717.89,9432109876,205898765432
2023-03-03,ETH,Ethereum,1717.89,1720.00,1650.00,1665.34,12345678901,199554321098
2023-03-04,ETH,Ethereum,1665.34,1675.00,1660.00,1668.45,8765432109,199921098765
2023-03-05,ETH,Ethereum,1668.45,1680.00,1665.00,1673.78,7654321098,200565432109
